PlayerName,PlayerTeam
Jemarl Baker Jr.,Arizona Wildcats
Jeremiah Buford,Nicholls Colonels
Jeremiah Davenport,Cincinnati Bearcats
Jeremiah Francis,North Carolina Tar Heels
Jeremiah Gambrell,Western Kentucky Hilltoppers
Jeremiah Robinson-Earl,Villanova Wildcats
Jeremiah Saunders,Southeastern Louisiana Lions
Jeremiah Tilmon,Missouri Tigers
Jeremy Dillon,Marshall Thundering Herd
Jeremy Hamilton,Alabama State Hornets
Jeremy Peck,UNC Asheville Bulldogs
Jeremy Sanchez,Cleveland State Vikings
Jeriah Horne,Tulsa Golden Hurricane
Jericho Sims,Texas Longhorns
Jericole Hellems,North Carolina State Wolfpack
Jermaine Bishop,Norfolk State Spartans
Jermaine Couisnard,South Carolina Gamecocks
Jermaine Haley,West Virginia Mountaineers
Jermaine Hamlin,Illinois Fighting Illini
Jermaine Harris,Rhode Island Rams
Jermaine Jackson Jr.,LIU Sharks
Jermaine Marrow,Hampton Pirates
Jermaine Miranda,Hofstra Pride
Jermaine Samuels,Villanova Wildcats
Jerome Desrosiers,Princeton Tigers
Jerome Hunter,Indiana Hoosiers
Jeromy Rodriguez,East Tennessee State Buccaneers
Jeron Artest,UC Irvine Anteaters
Jerrell Doorbal,Wiley Wildcats
Jerrick Harding,Weber State Wildcats
Jerrod Rigby,Southern Miss Golden Eagles
Jerry Higgins III,Citadel Bulldogs
Jerry Johnson Jr.,Arkansas State Red Wolves
Jervae Robinson,Washington State Cougars
Jervay Green,Nebraska Cornhuskers
Jesse Edwards,Syracuse Orange
Jesus Cruz,Fairfield Stags
Jesus Hernandez Jr,Saint Katherine College Firebirds
Jethro Tshisumpa,Texas Southern Tigers
Jett Canfield,Creighton Bluejays
Jevon Brown,Binghamton Bearcats
Jhery Matos,Dayton Flyers
Jhivvan Jackson,UTSA Roadrunners
Jibrael Washington,Wayland Baptist Pioneers
Jibri Blount,North Carolina Central Eagles
Jihar Williams,William & Mary Tribe
Jimbo Lull,San Francisco Dons
Jimmy Bell Jr.,Saint Louis Billikens
Jimmy Boeheim,Cornell Big Red
Jimmy Clark III,VCU Rams
Jimmy Nichols Jr.,Providence Friars
Jimmy Ratliff,Siena Saints
Jimmy Sotos,Bucknell Bison
Jimmy Sylvain,Keiser Seahawks
Jimmy Whitt Jr.,Arkansas Razorbacks
JJ Caldwell,New Mexico Lobos
JJ Murray,North Texas Mean Green
Job Alexander,Cal Poly Mustangs
Jock Perry,Saint Mary's Gaels
Joe Bryant Jr.,Norfolk State Spartans
Joe Cook-Green,Texas Wesleyan Rams
Joe French,Bethune-Cookman Wildcats
Joe Hedstrom,Wisconsin Badgers
Joe Hugley,East Tennessee State Buccaneers
Joe Jones III,Georgia State Panthers
Joe Mooney,UC Davis Aggies
Joe Pleasant,Abilene Christian Wildcats
Joe Pridgen,Holy Cross Crusaders
Joe Reece,Old Dominion Monarchs
Joe Toussaint,Iowa Hawkeyes
Joe Wieskamp,Iowa Hawkeyes
Joel Ayayi,Gonzaga Bulldogs
Joel Brown,California Golden Bears
Joel Kabimba,Stetson Hatters
Joel Martinez,Southwestern University Pirates
Joel Mensah,San Diego State Aztecs
Joel Soriano,Fordham Rams
Joey Baker,Duke Blue Devils
Joey Brunk,Indiana Hoosiers
Joey Calcaterra,San Diego Toreros
Joey Downes,Rutgers Scarlet Knights
Joey Glynn,UMass Lowell River Hawks
John Bowen,UNCW Seahawks
John Carter Jr.,Navy Midshipmen
John Comeaux,Stephen F. Austin Lumberjacks
John Crosby,Delaware State Hornets
John Edgar Jr.,UC Irvine Anteaters
John Fulkerson,Tennessee Volunteers
John Hall,Evansville Aces
John Harrar,Penn State Nittany Lions
John Johnson,Columbia International Rams
John Jones,Texas Southern Tigers
John Kiser,Valparaiso Crusaders
John Knight III,Southern Utah Thunderbirds
John McBride,Ole Miss Rebels
John Meeks,Bucknell Bison
John Mooney,Notre Dame Fighting Irish
John Newman III,Clemson Tigers
John Norvel,Northwestern State Demons
John Ogwuche,Kennesaw State Owls
John Ojiako,Virginia Tech Hokies
John Olmsted,Arizona State Sun Devils
John Pettway,South Alabama Jaguars
John Petty Jr.,Alabama Crimson Tide
John Scully,Army West Point Black Knights
John Stansbury,Delaware State Hornets
John Stubbs,Elon Phoenix
John Tonje,Colorado State Rams
John Walker III,Texas Southern Tigers
Johnatan Reyes-Valdez,Oklahoma Christian Eagles
Johncarlos Reyes,Nevada Wolf Pack
John-Michael Hughes,High Point Panthers
John-Michael Mulloy,Butler Bulldogs
John-Michael Wright,High Point Panthers
Johnny Juzang,Kentucky Wildcats
Johnny McCants,New Mexico State Aggies
Johnny McCoy,Delaware Fightin' Blue Hens
Johnny Wang,Cal State Fullerton Titans
Johquin Wiley,Delaware State Hornets
JoJo Walker,Portland Pilots
Jomaru Brown,Eastern Kentucky Colonels
Jon Axel Gudmundsson,Davidson Wildcats
Jon Brown,Tennessee State Tigers
Jon Coleman,UAB Blazers
Jon Teske,Michigan Wolverines
Jon Williams,Robert Morris Colonials
Jonah Antonio,UNLV Runnin' Rebels
Jonah Jackson,Drake Bulldogs
Jonah Mathews,USC Trojans
Jonah Radebaugh,Northern Colorado Bears
Jonas Harper,Boston University Terriers
Jonas James,Jackson State Tigers
Jonas Parker,Montevallo Falcons
Jonathan Aku,Texas A&M Aggies
Jonathan Baehre,Clemson Tigers
Jonathan Dos Anjos,Loyola Marymount Lions
Jonathan Jackson,Prairie View A&M Panthers
Jonathan Laurent,Oklahoma State Cowboys
Jonathan Nunez,FIU Panthers
Jonathan Scott,Chattanooga Mocs
Jordan Andrews,Texas Southern Tigers
Jordan Ash,Wright State Raiders
Jordan Barnes,Indiana State Sycamores
Jordan Baum,Chicago Maroons
Jordan Bell,Loyola Marymount Lions
Jordan Bohannon,Iowa Hawkeyes
Jordan Bowden,Tennessee Volunteers
Jordan Brinson,UAB Blazers
Jordan Bruner,Yale Bulldogs
Jordan Burns,Colgate Raiders
Jordan Campbell,Fresno State Bulldogs
Jordan Cohen,Lehigh Mountain Hawks
Jordan Coleman,Army West Point Black Knights
Jordan Dallas,Seattle Redhawks
Jordan Dartis,Ohio Bobcats
Jordan Dingle,Penn Quakers
Jordan Ford,Saint Mary's Gaels
Jordan Gibson,Presbyterian Blue Hose
Jordan Giles,Kansas City Roos
Jordan Goldwire,Duke Blue Devils
Jordan Goodwin,Saint Louis Billikens
Jordan Gorman,Detroit Titans
Jordan Griffin,Long Beach State Beach
Jordan Hairston,Texas A&M-Corpus Christi Islanders
Jordan Hardwick,Coppin State Eagles
Jordan Harris,Georgia Bulldogs
Jordan Henderson,Canisius Golden Griffins
Jordan Jackson,UT Rio Grande Valley Vaqueros
Jordan Jones,Cornell Big Red
Jordan King,Siena Saints
Jordan Lathon,UTEP Miners
Jordan Love,Southeast Missouri State Redhawks
Jordan Lyons,Mississippi Valley State Delta Devils
Jordan Lyons (Furman Paladins),Furman Paladins
Jordan Martin,Florida Memorial Lions
Jordan McCabe,West Virginia Mountaineers
Jordan McKenzie,Stony Brook Seawolves
Jordan McKoy,Merrimack Warriors
Jordan McNair,UAPB Golden Lions
Jordan Miller,George Mason Patriots
Jordan Minor,Merrimack Warriors
Jordan Nwora,Louisville Cardinals
Jordan Perkins,North Carolina Central Eagles
Jordan Phillips,UT Arlington Mavericks
Jordan Pierce,UT Martin Skyhawks
Jordan Preaster,Bethune-Cookman Wildcats
Jordan Ratinho,San Francisco Dons
Jordan Rawls,Western Kentucky Hilltoppers
Jordan Roberts,Long Beach State Beach
Jordan Roland,Northeastern Huskies
Jordan Schakel,San Diego State Aztecs
Jordan Scurry,Creighton Bluejays
Jordan Shepherd,Charlotte 49ers
Jordan Skipper-Brown,Eastern Illinois Panthers
Jordan Tucker,Butler Bulldogs
Jordan Usher,Georgia Tech Yellow Jackets
Jordan Walker,Tulane Green Wave
Jordan Walker (Morehead State Eagles),Morehead State Eagles
Jordan Whitfield,Campbell Fighting Camels
Jordan Wright,Vanderbilt Commodores
Jordy Tshimanga,Dayton Flyers
Jordyn Adams,Austin Peay Governors
Jordyn Owens,UMass Lowell River Hawks
Jose Alvarado,Georgia Tech Yellow Jackets
Jose Morales,Princeton Tigers
Jose Perez,Gardner-Webb Runnin' Bulldogs
Jose Sanchez,Ave Maria Gyrenes
Jose Serrano,Eastern New Mexico Greyhounds
Joseph Fresco,Caldwell Cougars
Joseph Girard III,Syracuse Orange
Joseph Hahnenberg,Ave Maria Gyrenes
Joseph Lanzi,Denver Pioneers
Joseph Smoyer,Columbia Lions
Joseph Yesufu,Drake Bulldogs
Josh Ajayi,South Alabama Jaguars
Josh Aldrich,USC Upstate Spartans
Josh Anderson,Western Kentucky Hilltoppers
Josh Apple,East Central Tigers
Josh Ayeni,South Alabama Jaguars
Josh Brewer,Miami (OH) RedHawks
Josh Caldwell,Army West Point Black Knights
Josh Carlton,UConn Huskies
Josh Colon,Fordham Rams
Josh Corbin,Winthrop Eagles
Josh Earley,Tulsa Golden Hurricane
Josh Endicott,North Florida Ospreys
Josh Ferguson,Winthrop Eagles
Josh Gantz,UMass Lowell River Hawks
Josh Green,Arizona Wildcats
Josh Hall,Missouri State Bears
Josh Hopkins,New Hampshire Wildcats
Josh Jones,Southwestern University Pirates
Josh Kunen,San Francisco Dons
Josh LeBlanc,Georgetown Hoyas
Josh Linder,Georgia State Panthers
Josh Mballa,Buffalo Bulls
Josh McNair,Green Bay Phoenix
Josh Mullins,Grambling State Tigers
Josh Nebo,Texas A&M Aggies
Josh Nicholas,Louisiana-Monroe Warhawks
Josh Nickelberry,Louisville Cardinals
Josh Oduro,George Mason Patriots
Josh Parrish,Rice Owls
Josh Peterson,Coastal Carolina Chanticleers
Josh Pierre-Louis,Temple Owls
Josh Pitts,Cal State Fullerton Titans
Josh Roberts,St. John's Red Storm
Josh Sharkey,Samford Bulldogs
Josh Thomas,Milwaukee Panthers
Josh Thompson,Ball State Cardinals
Josh Vazquez,Montana Grizzlies
Josh Warren,Cornell Big Red
Josh Watts,Brown Bears
Josh Williams,Robert Morris Colonials
Joshua Brooks,Maryville (TN) Fighting Scots
Joshua Howard,Brown Bears
Joshua Lusane,Campbell Fighting Camels
Joshua Morgan,Long Beach State Beach
Joshua Nurse,St. Francis Brooklyn Terriers
Joshua Patton,Sacramento State Hornets
Joshua Sanchez,St. Thomas (TX) Celts
Joshua Scottt,Thomas University Night Hawks
Joshua Sippial,UAB Blazers
Joshua Tomaic,Maryland Terrapins
Joshua Wiley,Mars Hill Lions
Josiah Allick,Kansas City Roos
Josiah Wallace,Eastern Illinois Panthers
Josiah-Jordan James,Tennessee Volunteers
Josip Vrankic,Santa Clara Broncos
Jovan Blacksher Jr.,Grand Canyon Antelopes
Jovan Grujicic,Ave Maria Gyrenes
Jovan Stulic,Little Rock Trojans
Jovan Zelenbaba,Northwestern State Demons
Jo'Vontae Millner,Middle Tennessee Blue Raiders
JP McGhee,Maryville (TN) Fighting Scots
JR Sanders,Maryville (TN) Fighting Scots
Jr. Clay,Tennessee Tech Golden Eagles
JT Escobar,North Florida Ospreys
JT Gibson,Omaha Mavericks
Juan Cardenas,Bryant Bulldogs
Jubrile Belo,Montana State Bobcats
Judah Jordan,Weber State Wildcats
Jude Akabueze,UAB Blazers
Juhwan Harris-Dyson,California Golden Bears
Jules Bernard,UCLA Bruins
Jules Jasmin,Palm Beach Atlantic Sailfish
Jules Williamson,UTEP Miners
Julian Batts,LIU Sharks
Julian Champagnie,St. John's Red Storm
Julian Rishwain,Boston College Eagles
Julien Wooden,James Madison Dukes
Julius Dixon,Morehead State Eagles
Julius Marble,Michigan State Spartans
Junior Ballard,Cal Poly Mustangs
Justen Hartfield,Mars Hill Lions
Justin Ahrens,Ohio State Buckeyes
Justin Bassey,Harvard Crimson
Justin Bean,Utah State Aggies
Justin Brown,South Florida Bulls
Justin Champagnie,Pittsburgh Panthers
Justin Cole,St. John's Red Storm
Justin Dahl,UNI Panthers
Justin Edler-Davis,Bakersfield Roadrunners
Justin Forrest,Appalachian State Mountaineers
Justin Gorham,Houston Cougars
Justin Hemsley,Hawaii Rainbow Warriors
Justin Hopkins,Texas Southern Tigers
Justin Jaworski,Lafayette Leopards
Justin Jenkins,Gardner-Webb Runnin' Bulldogs
Justin Johnson,Tougaloo Bulldogs
Justin Kier,George Mason Patriots
Justin Lee,Northern Illinois Huskies
Justin Lindner,Florida State Seminoles
Justin McCall,Bakersfield Roadrunners
Justin McCormack,Southwestern University Pirates
Justin McKoy,Virginia Cavaliers
Justin Miller,Detroit Titans
Justin Minaya,South Carolina Gamecocks
Justin Moore,Villanova Wildcats
Justin Murphy,Jacksonville State Gamecocks
Justin Nichelson,Palm Beach Atlantic Sailfish
Justin Pierce,North Carolina Tar Heels
Justin Roberts,Niagara Purple Eagles
Justin Roberts (Georgia State Panthers),Georgia State Panthers
Justin Robinson,Duke Blue Devils
Justin Smith,Indiana Hoosiers
Justin Thomas,Morehead State Eagles
Justin Tucker,Campbellsville Tigers
Justin Turner,Bowling Green Falcons
Justin Webster,Hawaii Rainbow Warriors
Justin Whatley,North Carolina Central Eagles
Justin Williams,George Washington Colonials
Justin Winston,St. Bonaventure Bonnies
Justinian Jessup,Boise State Broncos
Justus Rainwater,FGCU Eagles
Justyn Hamilton,Temple Owls
Justyn King,Bethune-Cookman Wildcats
Justyn Mutts,Delaware Fightin' Blue Hens
Juvaris Hayes,Merrimack Warriors
Juwan Durham,Notre Dame Fighting Irish
Juwan Gray,Towson Tigers
Juwan Perdue,Jacksonville State Gamecocks
Jvari Thigpen,William Carey Crusaders
J'Von McCormick,Auburn Tigers
Jy'lan Washington,Tennessee State Tigers
K.J. Hymes,Nevada Wolf Pack
K.J. Jackson,UMBC Retrievers
K.J. Lawson,Tulane Green Wave
K.J. Riley,Evansville Aces
K.J. Smith,North Carolina Tar Heels
K.J. Walton,Ball State Cardinals
Kabir Mohammed,Missouri State Bears
Kace Kitchel,Lindenwood Lions
Kadeem Webb,Thomas University Night Hawks
Kaden Archie,UTEP Miners
Kaelon Harris,Citadel Bulldogs
Kahliel Spear,Bucknell Bison
Kahlil Whitney,Kentucky Wildcats
Kai Edwards,Northern Colorado Bears
Kai Jones,Texas Longhorns
Kai Mitchell,Sam Houston State Bearkats
Kai Toews,UNCW Seahawks
Kaiden Rice,Citadel Bulldogs
Kaison Hammonds,San Jose State Spartans
Kale Walters,Louisiana Tech Bulldogs
Kaleb Bishop,Fairleigh Dickinson Knights
Kaleb Coleman,Lipscomb Bisons
Kaleb Hunter,UNCG Spartans
Kaleb Wesson,Ohio State Buckeyes
Kalib Boone,Oklahoma State Cowboys
Kalif Young,Providence Friars
Kalil Thomas,UMass Lowell River Hawks
Kalil Whitehead,Chicago State Cougars
Kalin Bennett,Kent State Golden Flashes
Kalob Ledoux,Louisiana Tech Bulldogs
Kalu Ezikpe,Old Dominion Monarchs
Kamaka Hepa,Texas Longhorns
Kamani Johnson,Little Rock Trojans
Kamar Baldwin,Butler Bulldogs
Kamar McKnight,Coppin State Eagles
Kamar Robertson,Mercer Bears
Kamari Williams,Boston College Eagles
Kamau Kinder,Lindenwood Lions
Kamdyn Curfman,VMI Keydets
Kameron Edwards,Pepperdine Waves
Kameron Gibson,Western Carolina Catamounts
Kameron Hankerson,Green Bay Phoenix
Kameron Langley,North Carolina A&T Aggies
Kameron McGusty,Miami (FL) Hurricanes
Kameron Ng,Hawaii Rainbow Warriors
Kamron Reaves,Florida A&M Rattlers
Kane Milling,Nevada Wolf Pack
Kane Williams,Georgia State Panthers
Kani Acree,Ball State Cardinals
Kareem Reid,Gardner-Webb Runnin' Bulldogs
Kareem South,California Golden Bears
Karl Harris,Northern Kentucky Norse
Karl Johnson,Tougaloo Bulldogs
Karlis Silins,Florida Atlantic Owls
Karrington Davis,Southern Illinois Salukis
Karrington Wallace,Central Connecticut State Blue Devils
Kase Carrera,Florida Memorial Lions
Kashaun Hicks,Norfolk State Spartans
Kashawn Charles,Eastern Illinois Panthers
Kasheem Thomas,Cleveland State Vikings
Kassim Nicholson,UAB Blazers
KaVaughn Scott,Loyola Maryland Greyhounds
Kavonte Ivery,Georgia State Panthers
Kawanise Wilkins,Western Michigan Broncos
Kayne Henry,Jacksonville State Gamecocks
KC Hankton,Saint Louis Billikens
KC Ndefo,Saint Peter's Peacocks
Keandre Cook,Missouri State Bears
Keaston Willis,UIW Cardinals
Keaton Shaw,St. Thomas (TX) Celts
Keaton Van Soelen,Air Force Falcons
Keaton Wallace,UTSA Roadrunners
Keegan Records,Colgate Raiders
Keenan Fitzmorris,Stanford Cardinal
Keenon Cole,Northern Illinois Huskies
Keeshawn Kellman,Princeton Tigers
Keion Brooks Jr.,Kentucky Wildcats
Keishawn Brewton,Coastal Carolina Chanticleers
Keishawn Davidson,Tennessee Tech Golden Eagles
Keith Braxton,Saint Francis U Red Flash
Keith Clemons,Loyola Chicago Ramblers
Keith Fisher III,Illinois State Redbirds
Keith McGee,New Mexico Lobos
Keith Smith,Pepperdine Waves
Keith Smith (Cal Poly Mustangs),Cal Poly Mustangs
Keith Stone,Miami (FL) Hurricanes
Keith Williams,Cincinnati Bearcats
Keli Leaupepe,Loyola Marymount Lions
Kellan Grady,Davidson Wildcats
Keller Casey,Oklahoma Sooners
Kelton Edwards,Grambling State Tigers
Kelvin Jones,Creighton Bluejays
Kenan Blackshear,Florida Atlantic Owls
Kendal Manuel,Montana Grizzlies
Kendall Lauderdale,Albany Great Danes
Kendall Lewis,Appalachian State Mountaineers
Kendall Small,Chaminade Silverswords
Kendall Small (Chaminade Silverswords),Chaminade Silverswords
Kendle Moore,Colorado State Rams
Kendric Davis,SMU Mustangs
Kennard Robinson,St. Thomas (TX) Celts
Kennedy Koehler,UC Davis Aggies
Kenneth Jones,Loyola Maryland Greyhounds
Kenny Aninye,Stetson Hatters
Kenny Foster,Wyoming Cowboys
Kenny Pittman Jr.,Oakland Golden Grizzlies
Kenyon Duling,SIUE Cougars
Keon Clergeot,Massachusetts Minutemen
Keondre Kennedy,UMBC Retrievers
Kerry Blackshear Jr.,Florida Gators
Ke'Sean Davis,Chicago State Cougars
Keshad Johnson,San Diego State Aztecs
Keshaun Saunders,Toledo Rockets
KeShawn Curry,VCU Rams
Keshawn Justice,Santa Clara Broncos
Kessler Edwards,Pepperdine Waves
Kevin Anderson,Delaware Fightin' Blue Hens
Kevin Chong,Maryville (TN) Fighting Scots
Kevin Cross,Nebraska Cornhuskers
Kevin Granger Jr.,Texas Southern Tigers
Kevin Hamlet,Central Michigan Chippewas
Kevin Holston,Alabama State Hornets
Kevin Johnson,Nicholls Colonels
Kevin Kangu,Oakland Golden Grizzlies
Kevin Kremer,Chaminade Silverswords
Kevin Marfo,Quinnipiac Bobcats
Kevin McCullar,Texas Tech Red Raiders
Kevin McKay,Central Michigan Chippewas
Kevin Norman,Jacksonville Dolphins
Kevin Obanor,Oral Roberts Golden Eagles
Kevin Rapp,Southern-New Orleans Knights
Kevin Samuel,TCU Horned Frogs
Kevin Schutte,Hofstra Pride
Kevin Senghore-Peterson,Fairfield Stags
Kevin Smith,Montevallo Falcons
Kevin Zhang,Tulane Green Wave
Kevion Stewart,Alabama State Hornets
Kevon Harris,Stephen F. Austin Lumberjacks
Kevon Voyles,Maryland Eastern Shore Hawks
Keylan Boone,Oklahoma State Cowboys
Keyontae Johnson,Florida Gators
Keyshaad Dixon,Idaho Vandals
Keyshaun Langley,UNCG Spartans
Keyshaun Street,Delta State Statesmen
Keyshawn Bryant,South Carolina Gamecocks
KeyShawn Feazell,Mississippi State Bulldogs
Khadim Gueye,Tampa Spartans
Khadim Sy,Ole Miss Rebels
Khalid Moore,Georgia Tech Yellow Jackets
Khalid Thomas,Arizona State Sun Devils
Khalif Battle,Butler Bulldogs
Khalil Jordan,William Carey Crusaders
Khalil Robinson,Howard Bison
Khalil Shabazz,San Francisco Dons
Khalil Spencer,Jackson State Tigers
Khalil Turner,Rider Broncs
Khalyl Waters,Troy Trojans
Kham Davis,Weber State Wildcats
Khavon Moore,Clemson Tigers
Khyber Kabellis,UC Riverside Highlanders
Khydarius Smith,USC Upstate Spartans
Khyre Thompson,UNCG Spartans
Kienan Walter,North Dakota Fighting Hawks
Kihei Clark,Virginia Cavaliers
Killian Tillie,Gonzaga Bulldogs
Kim Aiken Jr.,Eastern Washington Eagles
Kimani Lawrence,Arizona State Sun Devils
Kimar Williams,Rider Broncs
Kinnon LaRose,Sacred Heart Pioneers
Kipper Nichols,Illinois Fighting Illini
Kira Lewis Jr.,Alabama Crimson Tide
KJ Buffen,Ole Miss Rebels
KJ Cunningham,Weber State Wildcats
KJ Feagin,San Diego State Aztecs
KJ Johnson,Lipscomb Bisons
KJ Marshall,Pittsburgh Panthers
KJ Robinson,Omaha Mavericks
KJ Simon,Troy Trojans
KJ Williams,Murray State Racers
Kjell de Graaf,NJIT Highlanders
KK Curry,South Alabama Jaguars
Klay Stall,Utah State Aggies
Knox Hellums,UTSA Roadrunners
Kobby Ayetey,North Carolina Central Eagles
Kobe Brown,Missouri Tigers
Kobe Dickson,Cornell Big Red
Kobe Julien,Louisiana Ragin' Cajuns
Kobe King,Wisconsin Badgers
Kobe Langley,UNCG Spartans
Kobe Webster,Western Illinois Leathernecks
Kobe Wilson,Arkansas State Red Wolves
Kobe Wilson (Alcorn State Braves),Alcorn State Braves
Kobe Young,Chaminade Silverswords
Koby McEwen,Marquette Golden Eagles
Koby Thomas,Coppin State Eagles
Koch Bar,Bradley Braves
Kody Shubert,Presbyterian Blue Hose
Kody Stattmann,Virginia Cavaliers
Kofi Cockburn,Illinois Fighting Illini
Kolby Lee,BYU Cougars
Kolton Kohl,Abilene Christian Wildcats
Kolton Mitchell,Massachusetts Minutemen
Konrad Kiszka,Princeton Tigers
Kordell Kah,Maryville (TN) Fighting Scots
Koreem Ozier,Sacred Heart Pioneers
Kris Martin,Colorado State Rams
Kris Monroe,Providence Friars
Kris Wooten,Elon Phoenix
Kristers Zoriks,Saint Mary's Gaels
Kristian Doolittle,Oklahoma Sooners
Kristian Lafayette,Louisiana Ragin' Cajuns
Kruz Perrott-Hunt,South Dakota Coyotes
Kshun Stokes,UAPB Golden Lions
Kuany Kuany,California Golden Bears
Kuba Karwowski,Utah State Aggies
Kur Jockuch,Northern Colorado Bears
Kur Kuath,Oklahoma Sooners
Kurk Lee,Drexel Dragons
Kurt Wegscheider,New Mexico Lobos
Kwane Marble II,Wyoming Cowboys
Kwe Parker,North Carolina A&T Aggies
KyKy Tandy,Xavier Musketeers
Kyle Ahrens,Michigan State Spartans
Kyle Arrington,Western Illinois Leathernecks
Kyle Bowen,Saint Mary's Gaels
Kyle Colvin,Cal Poly Mustangs
Kyle Copeland,Holy Cross Crusaders
Kyle Feit,Arizona State Sun Devils
Kyle Foster,Howard Bison
Kyle Greeley,Portland State Vikings
Kyle Howard,Southwestern University Pirates
Kyle Lofton,St. Bonaventure Bonnies
Kyle Luedtke,Omaha Mavericks
Kyle Mallers,Ball State Cardinals
Kyle McCloskey,Penn State Nittany Lions
Kyle Owens,Montana Grizzlies
Kyle Poerschke,Southwestern University Pirates
Kyle Rode,Liberty Flames
Kyle Rose,Fordham Rams
Kyle Ruiz,San Diego Christian Hawks
Kyle Sturdivant,USC Trojans
Kyle Young,Ohio State Buckeyes
Kyle Young (Siena Saints),Siena Saints
Kyle Zunic,Winthrop Eagles
Kyler Edwards,Texas Tech Red Raiders
Kylor Kelley,Oregon State Beavers
Kyonze Chavis,Norfolk State Spartans
Kyrin Galloway,UNCG Spartans
Kyson Rawls,Morgan State Bears
L.J. Owens,UMBC Retrievers
Lacey James,Northern Illinois Huskies
Lachlan Anderson,Eastern Kentucky Colonels
Ladan Ricketts,Montana State Bobcats
LaDavius Draine,Southern Miss Golden Eagles
Lagio Grantsaan,Morgan State Bears
Lahat Thioune,Utah Runnin' Utes
Lamar Hamrick,Portland State Vikings
Lamar Norman Jr.,Duquesne Dukes
Lamar Stevens,Penn State Nittany Lions
Lamar Wright,SIUE Cougars
Lamarcus Lee,Southern University Jaguars
Lamarr Kimble,Louisville Cardinals
La'Mel Robinson,Omaha Mavericks
Lamont Berzat,New Orleans Privateers
LaMont Simmons,Texas Wesleyan Rams
Lamont Strickland,Bluefield State Big Blues
Lamont West,Missouri State Bears
Lamonte Turner,Tennessee Volunteers
Lance Coleman II,CSUN Matadors
Lance Jones,Southern Illinois Salukis
Lance Singh III,Delaware State Hornets
Lance Terry,Gardner-Webb Runnin' Bulldogs
Lance Thomas,Memphis Tigers
Landers Nolley II,Virginia Tech Hokies
Landon Taliaferro,Fairfield Stags
Lane Hartley,Louisiana Tech Bulldogs
Langston Powell,Louisiana-Monroe Warhawks
LaPri McCray-Pace,Morgan State Bears
LaQuan Butler,Southeastern Louisiana Lions
LaQuill Hardnett,Buffalo Bulls
Laquincy Rideau,South Florida Bulls
Larry Kuimi,Tennessee Tech Golden Eagles
Larry Owens,Northwestern State Demons
Larry Wise,North Texas Mean Green
Lars Thiemann,California Golden Bears
LaTerrance Reed,Northwestern State Demons
Laurence Merritt,Midland Lutheran Warriors
Lavar Batts Jr.,UNC Asheville Bulldogs
Lavar Harewood,Portland Pilots
Lavelle Scottie,Air Force Falcons
Lawrence Slim,Flagler Saints
Lawson Korita,Tulsa Golden Hurricane
Lazar Nekic,Loyola Marymount Lions
Lazar Zivanovic,Loyola Marymount Lions
Lazaro Rojas,Fresno State Bulldogs
Leaky Black,North Carolina Tar Heels
Ledarius Woods,Tougaloo Bulldogs
Leighton Schrand,Xavier Musketeers
Lemmie Howard,Jackson State Tigers
Lenell Henry,Prairie View A&M Panthers
Lennard Robinson,St. Thomas (TX) Celts
Lenorris Mincey,Campbellsville Tigers
Leo Behrend,Ave Maria Gyrenes
Leo Gallagher,Binghamton Bearcats
Leo O'Boyle,Lafayette Leopards
Leo Toussaint,Southwestern University Pirates
Leon Daniels,Alabama State Hornets
Leon Redd,Bethune-Cookman Wildcats
Leon Sneed,Prairie View A&M Panthers
Leonard Harper-Baker,Southern Miss Golden Eagles
Leondre Washington,McNeese State Cowboys
Leroy Butts IV,Radford Highlanders
LeSean Brown,Air Force Falcons
Lesley Varner II,UT Rio Grande Valley Vaqueros
Lester Quinones,Memphis Tigers
Levar Williams,NJIT Highlanders
Levi Cook,Coastal Carolina Chanticleers
Levi Stockard III,Kansas State Wildcats
Lewis Djonkam,Radford Highlanders
Lewis McDaniel,Central Arkansas Bears
Lewis Ntolla,Southern-New Orleans Knights
Liam Robbins,Drake Bulldogs
Lincoln Wieseman,Milwaukee Panthers
Lincoln Yeutter,Holy Cross Crusaders
Lindsey Drew,Nevada Wolf Pack
Lindy Waters III,Oklahoma State Cowboys
Lior Berman,Auburn Tigers
Liwayne Richardson,Howard Bison
LJ Bryan,Morehead State Eagles
LJ Figueroa,St. John's Red Storm
LJ Thorpe,UNC Asheville Bulldogs
Logan Curtis,East Carolina Pirates
Logan Dye,Samford Bulldogs
Logan Johnson,Saint Mary's Gaels
Logan Padgett,Samford Bulldogs
Logan Routt,West Virginia Mountaineers
Logan Swackhammer,Flagler Saints
Logan Windeler,North Alabama Lions
Lonnie Grayson,Army West Point Black Knights
Loren Brill,Old Dominion Monarchs
Loren Cristian Jackson,Akron Zips
Lorenzo Edwards,Saint Joseph's Hawks
Lorenzo Jenkins,Grand Canyon Antelopes
Lorenzo McGhee,Nicholls Colonels
Louie Pillari,Monmouth Hawks
Louis Bangai,Grand Canyon Antelopes
Louis Tang,VMI Keydets
Lucas Kroft,Ball State Cardinals
Lucas Monroe,Penn Quakers
Lucas N'Guessan,East Tennessee State Buccaneers
Lucas Siewert,Colorado Buffaloes
Lucas Uzdavinis,Ave Maria Gyrenes
Lucas Williamson,Loyola Chicago Ramblers
Ludgy Debaut,East Carolina Pirates
