Left,Right
Albany Great Danes,Milwaukee Panthers
Abilene Christian Wildcats,Pacific Tigers
Northwest Nazarene Crusaders,Idaho Vandals
Southern Utah Thunderbirds,UNLV Runnin' Rebels
Cal Poly Mustangs,Portland Pilots
UC Riverside Highlanders,Elon Phoenix
Southern University Jaguars,North Carolina Central Eagles
Northern Illinois Huskies,James Madison Dukes
North Alabama Lions,Troy Trojans
Northeastern Huskies,Davidson Wildcats
American University Eagles,UMBC Retrievers
Governors State Jaguars,New Orleans Privateers
Western Michigan Broncos,Nicholls Colonels
Savannah State Tigers,Alcorn State Braves
Evansville Aces,Ball State Cardinals
Chicago State Cougars,Bradley Braves
Detroit Titans,Eastern Michigan Eagles
Western New England Golden Bears,Hartford Hawks
California Baptist Lancers,Howard Bison
NJIT Highlanders,LIU Brooklyn Blackbirds
Army West Point Black Knights,Miami (OH) RedHawks
Austin Peay Governors,Ohio Bobcats
Stockton Ospreys,Penn Quakers
Stony Brook Seawolves,Rhode Island Rams
Colgate Raiders,Siena Saints
Rider Broncs,Wagner Seahawks
Jacksonville Dolphins,Western Carolina Catamounts
Warren Wilson Owls,Winthrop Eagles
Sacred Heart Pioneers,Binghamton Bearcats
Montana State Bobcats,Omaha Mavericks
Oral Roberts Golden Eagles,Oakland Golden Grizzlies
Longwood Lancers,Denver Pioneers
Lindenwood Lions,Illinois State Redbirds
Avila Eagles,UMKC Kangaroos
Princeton Tigers,Monmouth Hawks
North Dakota State Bison,East Tennessee State Buccaneers
Manhattan Jaspers,George Washington Colonials
Central Pennsylvania College Knights,Maryland Eastern Shore Hawks
Central Arkansas Bears,Saint Louis Billikens
Saint Joseph's Hawks,William & Mary Tribe
Grambling State Tigers,IUPUI Jaguars
Belmont Bruins,Kennesaw State Owls
Wisconsin-Parkside Rangers,UIC Flames
UAPB Golden Lions,Little Rock Trojans
Eastern Illinois Panthers,Arkansas State Red Wolves
Dartmouth Big Green,San Francisco Dons
USC Upstate Spartans,Cal Poly Mustangs
Santa Clara Broncos,San Jose State Spartans
Fairfield Stags,Seattle Redhawks
North Dakota Fighting Hawks,Utah Valley Wolverines
St. Francis Brooklyn Terriers,Niagara Purple Eagles
Hofstra Pride,VCU Rams
Northwest Nazarene Crusaders,Portland State Vikings
UNCW Seahawks,Gardner-Webb Runnin' Bulldogs
Missouri State Bears,Murray State Racers
Texas State Bobcats,Portland Pilots
UC Riverside Highlanders,Abilene Christian Wildcats
Harvard Crimson,Saint Mary's Gaels
UC Santa Barbara Gauchos,Idaho Vandals
Jackson State Tigers,San Diego Toreros
Cal State Fullerton Titans,Sacramento State Hornets
Florida A&M Rattlers,Loyola Marymount Lions
Elon Phoenix,Pacific Tigers
James Madison Dukes,Oral Roberts Golden Eagles
Siena Heights Saints,Central Michigan Chippewas
Massachusetts-Lowell River Hawks,Duquesne Dukes
UNCW Seahawks,Eastern Illinois Panthers
Mount St. Mary's Mountaineers,Morgan State Bears
St. Joseph's (NY-Brooklyn) Bears,Columbia Lions
Alabama A&M Bulldogs,Fordham Rams
Savannah State Tigers,Liberty Flames
Bucknell Bison,Vermont Catamounts
Maine Black Bears,Quinnipiac Bobcats
Lipscomb Bisons,Morehead State Eagles
Northern Illinois Huskies,Oakland Golden Grizzlies
Drexel Dragons,Bowling Green Falcons
Fairfield Stags,Denver Pioneers
Lafayette Leopards,Fairleigh Dickinson Knights
UIW Cardinals,SIUE Cougars
Gardner-Webb Runnin' Bulldogs,Arkansas State Red Wolves
Pine Manor Gators,Central Connecticut State Blue Devils
Furman Paladins,UNC Asheville Bulldogs
Fresno State Bulldogs,Hawaii Rainbow Warriors
Purdue Fort Wayne Mastodons,Cleveland State Vikings
St. Edwards Hilltoppers,Stephen F. Austin Lumberjacks
Bryant Bulldogs,Brown Bears
Hampton Pirates,Richmond Spiders
Longwood Lancers,Seattle Redhawks
Loyola Maryland Greyhounds,Towson Tigers
Bakersfield Roadrunners,USC Trojans
South Carolina State Bulldogs,Samford Bulldogs
La Salle Explorers,Grand Canyon Antelopes
Winston-Salem State Rams,Appalachian State Mountaineers
Stetson Hatters,Bethune-Cookman Wildcats
Glenville State Pioneers,Radford Highlanders
Louisiana College Wildcats,Southeastern Louisiana Lions
Texas A&M-Corpus Christi Islanders,UT Rio Grande Valley Vaqueros
Idaho State Bengals,Pepperdine Waves
Bloomsburg Huskies,Saint Francis U Red Flash
Hartford Hawks,Sacred Heart Pioneers
Howard Payne Yellow Jackets,Abilene Christian Wildcats
Tiffin Dragons,Ball State Cardinals
High Point Panthers,Citadel Bulldogs
Central Pennsylvania College Knights,Elon Phoenix
East Tennessee State Buccaneers,Georgia Southern Eagles
Wiley Wildcats,Southern University Jaguars
Brewton-Parker College Barons,Mercer Bears
Greensboro Pride,UNCG Spartans
Iona Gaels,Ohio Bobcats
Hiwassee College Tigers,Chattanooga Mocs
American University Eagles,VMI Keydets
Cedarville Yellow Jackets,Wright State Raiders
Stony Brook Seawolves,Norfolk State Spartans
Penn Quakers,Delaware State Hornets
Louisiana-Monroe Warhawks,Northwestern State Demons
Missouri Science & Technology Miners,Southeast Missouri State Redhawks
Northern Kentucky Norse,Morehead State Eagles
Boise State Broncos,Drake Bulldogs
Southern Illinois Salukis,Colorado State Rams
North Dakota Fighting Hawks,Montana State Bobcats
Eastern Washington Eagles,Washington Huskies
Benedictine Mesa Redhawks,Weber State Wildcats
West Coast Baptist Eagles,Idaho Vandals
Jackson State Tigers,San Diego State Aztecs
Carver College Cougars,Jacksonville State Gamecocks
Alabama State Hornets,Akron Zips
Northeastern Huskies,Bucknell Bison
South Carolina State Bulldogs,Charleston Cougars
Kent State Golden Flashes,Detroit Titans
NJIT Highlanders,Drexel Dragons
Wyoming Cowboys,Evansville Aces
Vermont Catamounts,George Washington Colonials
Morgan State Bears,George Mason Patriots
Holy Cross Crusaders,Harvard Crimson
Siena Saints,Hofstra Pride
Cornell Big Red,Lafayette Leopards
Princeton Tigers,Maine Black Bears
Quinnipiac Bobcats,Massachusetts Minutemen
Liberty Flames,Navy Midshipmen
Boston University Terriers,New Hampshire Wildcats
St. Francis Brooklyn Terriers,Presbyterian Blue Hose
Brown Bears,Rhode Island Rams
Youngstown State Penguins,Robert Morris Colonials
Canisius Golden Griffins,St. Bonaventure Bonnies
UIC Flames,Saint Joseph's Hawks
Winthrop Eagles,Tennessee Tech Golden Eagles
North Alabama Lions,Toledo Rockets
Christendom College Crusaders,North Carolina Central Eagles
Bradley Braves,IUPUI Jaguars
Gardner-Webb Runnin' Bulldogs,USC Upstate Spartans
Yale Bulldogs,Bryant Bulldogs
Binghamton Bearcats,Army West Point Black Knights
Central Michigan Chippewas,Sam Houston State Bearkats
Purdue Fort Wayne Mastodons,Eastern Illinois Panthers
BYU Cougars,Illinois State Redbirds
Rust College Bearcats,Mississippi Valley State Delta Devils
Louisiana Ragin' Cajuns,New Orleans Privateers
Spring Hill Badgers,Nicholls Colonels
SIUE Cougars,Western Illinois Leathernecks
Northern Illinois Huskies,Green Bay Phoenix
Little Rock Trojans,Central Arkansas Bears
UMKC Kangaroos,South Dakota State Jackrabbits
Northern Colorado Bears,Denver Pioneers
UNI Panthers,Utah State Aggies
Western State Mountaineers,Utah Valley Wolverines
Missouri State Bears,Air Force Falcons
Pacific Tigers,Fresno State Bulldogs
Indiana State Sycamores,San Jose State Spartans
Northwest University Eagles,Seattle Redhawks
UC Irvine Anteaters,Saint Mary's Gaels
Valparaiso Crusaders,UNLV Runnin' Rebels
Marist Red Foxes,Dartmouth Big Green
LIU Brooklyn Blackbirds,Albany Great Danes
Trinity Baptist Eagles,Campbell Fighting Camels
Coppin State Eagles,James Madison Dukes
Hampton Pirates,Norfolk State Spartans
Central Connecticut State Blue Devils,North Carolina A&T Aggies
Belmont Bruins,Samford Bulldogs
East-West University Phantoms,Chicago State Cougars
Austin Peay Governors,Troy Trojans
Florida A&M Rattlers,North Florida Ospreys
San Diego Christian Hawks,Southern Utah Thunderbirds
Huston-Tillotson Rams,Texas Southern Tigers
Montana-Western Bulldogs,Idaho State Bengals
Northern Arizona Lumberjacks,UC Davis Aggies
Bethesda Flames,Loyola Marymount Lions
Sacramento State Hornets,UC Santa Barbara Gauchos
Jackson State Tigers,Santa Clara Broncos
California Baptist Lancers,UC Riverside Highlanders
Milwaukee Panthers,Buffalo Bulls
San Francisco Dons,Stephen F. Austin Lumberjacks
Ohio Chillicothe Hilltoppers,Morehead State Eagles
Dartmouth Big Green,Albany Great Danes
Marist Red Foxes,LIU Brooklyn Blackbirds
Wagner Seahawks,American University Eagles
Delaware Fightin' Blue Hens,Maryland Eastern Shore Hawks
Niagara Purple Eagles,Saint Francis U Red Flash
Vermont Catamounts,Towson Tigers
UMBC Retrievers,Northern Kentucky Norse
Milwaukee Panthers,Stephen F. Austin Lumberjacks
Rust College Bearcats,Alcorn State Braves
Fairfield Stags,Army West Point Black Knights
Mercer Bears,Citadel Bulldogs
Mount St. Mary's Mountaineers,Loyola Maryland Greyhounds
Ball State Cardinals,IUPUI Jaguars
Jacksonville State Gamecocks,North Alabama Lions
New Hampshire Wildcats,Bryant Bulldogs
Fairleigh Dickinson Knights,Holy Cross Crusaders
Monmouth Hawks,Bucknell Bison
Robert Morris Colonials,Drexel Dragons
Albion Britons,Evansville Aces
Boston University Terriers,Elon Phoenix
Bowling Green Falcons,Hartford Hawks
Wright State Raiders,Indiana State Sycamores
Arkansas State Red Wolves,Lehigh Mountain Hawks
Wilberforce Bulldogs,Miami (OH) RedHawks
Tennessee Tech Golden Eagles,Chattanooga Mocs
Cleveland State Vikings,Toledo Rockets
USC Upstate Spartans,Western Michigan Broncos
Belmont Bruins,Green Bay Phoenix
UMKC Kangaroos,Purdue Fort Wayne Mastodons
Eastern Kentucky Colonels,High Point Panthers
Hartwick Hawks,Binghamton Bearcats
Hofstra Pride,Kennesaw State Owls
NJIT Highlanders,Massachusetts-Lowell River Hawks
Cal Poly Mustangs,Fresno State Bulldogs
San Diego State Aztecs,Illinois State Redbirds
Eastern Michigan Eagles,Northeastern Huskies
Harvard Crimson,Siena Saints
Maine Black Bears,Saint Peter's Peacocks
UT Rio Grande Valley Vaqueros,UT Arlington Mavericks
Savannah State Tigers,Gardner-Webb Runnin' Bulldogs
Southern Illinois Salukis,SIUE Cougars
Eastern Illinois Panthers,Chicago State Cougars
VMI Keydets,Longwood Lancers
Sam Houston State Bearkats,Little Rock Trojans
Western Carolina Catamounts,Furman Paladins
Norfolk State Spartans,Kent State Golden Flashes
Brown Bears,Navy Midshipmen
Presbyterian Blue Hose,North Carolina A&T Aggies
George Washington Colonials,Princeton Tigers
Delaware State Hornets,St. Bonaventure Bonnies
George Mason Patriots,William & Mary Tribe
Regent Royals,Hampton Pirates
Idaho Vandals,North Dakota Fighting Hawks
Loyola Chicago Ramblers,UIC Flames
McNeese State Cowboys,North Carolina Central Eagles
Bakersfield Roadrunners,South Dakota Coyotes
Detroit Titans,Akron Zips
North Florida Ospreys,Charleston Southern Buccaneers
South Carolina State Bulldogs,Jacksonville Dolphins
Georgia State Panthers,Liberty Flames
Northern Colorado Bears,Wyoming Cowboys
Drake Bulldogs,North Dakota State Bison
Fordham Rams,Manhattan Jaspers
Davidson Wildcats,UNCW Seahawks
Northern Arizona Lumberjacks,Santa Clara Broncos
Iona Gaels,VCU Rams
East Tennessee State Buccaneers,Wofford Terriers
Austin Peay Governors,Alabama A&M Bulldogs
Quinnipiac Bobcats,Stony Brook Seawolves
Western Illinois Leathernecks,Southeast Missouri State Redhawks
New Mexico Lobos,Bradley Braves
Prairie View A&M Panthers,Murray State Racers
Abilene Christian Wildcats,Pepperdine Waves
Eastern Washington Eagles,Seattle Redhawks
Southern University Jaguars,Louisiana Ragin' Cajuns
Florida A&M Rattlers,South Alabama Jaguars
UNC Asheville Bulldogs,UT Martin Skyhawks
Cal Lutheran Kingsmen,Cal State Fullerton Titans
Boise State Broncos,Grand Canyon Antelopes
BYU Cougars,Weber State Wildcats
Denver Pioneers,Utah Valley Wolverines
UNI Panthers,South Dakota State Jackrabbits
Utah State Aggies,UC Irvine Anteaters
Sacramento State Hornets,CSUN Matadors
Air Force Falcons,Pacific Tigers
Long Beach State 49ers,San Diego Toreros
Mississippi Valley State Delta Devils,California Baptist Lancers
Portland Bible Wildcats,Portland State Vikings
Colgate Raiders,FGCU Eagles
Delaware Fightin' Blue Hens,Columbia Lions
Sacred Heart Pioneers,Lafayette Leopards
UC Riverside Highlanders,Valparaiso Crusaders
UC Santa Barbara Gauchos,Washington Huskies
Morgan State Bears,Virginia Cavaliers
Troy Trojans,Florida State Seminoles
Rutgers Scarlet Knights,Wisconsin Badgers
UMBC Retrievers,Coppin State Eagles
Reinhardt Eagles,East Tennessee State Buccaneers
Vermont Catamounts,George Mason Patriots
St. Joseph's (NY-Brooklyn) Bears,St. Francis Brooklyn Terriers
Cairn University Highlanders,Delaware State Hornets
College of Idaho Coyotes,Montana Grizzlies
CSUN Matadors,Pepperdine Waves
Saint Francis U Red Flash,American University Eagles
Howard Bison,Appalachian State Mountaineers
Massachusetts-Lowell River Hawks,Boston University Terriers
Winthrop Eagles,Davidson Wildcats
Detroit Titans,Dayton Flyers
Furman Paladins,Elon Phoenix
Radford Highlanders,James Madison Dukes
Bucknell Bison,La Salle Explorers
Fordham Rams,Maine Black Bears
Holy Cross Crusaders,Massachusetts Minutemen
Notre Dame Fighting Irish,Oklahoma Sooners
Jacksonville Dolphins,Presbyterian Blue Hose
Central Michigan Chippewas,Youngstown State Penguins
Army West Point Black Knights,NJIT Highlanders
Bradley Braves,Little Rock Trojans
Evansville Aces,Arkansas State Red Wolves
Campbell Fighting Camels,Abilene Christian Wildcats
Lipscomb Bisons,Belmont Bruins
Fontbonne Griffins,Eastern Illinois Panthers
Southeast Missouri State Redhawks,Mississippi Valley State Delta Devils
High Point Panthers,Valparaiso Crusaders
Trinity (TX) Tigers,UIW Cardinals
Centenary Gentlemen,Grambling State Tigers
South Dakota Coyotes,Colorado Buffaloes
New Mexico Lobos,New Mexico State Aggies
Bethune-Cookman Wildcats,Saint Mary's Gaels
California Merced Bobcats,Bakersfield Roadrunners
Robert Morris Colonials,Canisius Golden Griffins
Colgate Raiders,Columbia Lions
Johnson & Wales (NC) Wildcats,Citadel Bulldogs
Quinnipiac Bobcats,Dartmouth Big Green
Navy Midshipmen,Delaware Fightin' Blue Hens
Loyola Maryland Greyhounds,Drexel Dragons
Marshall Thundering Herd,Duquesne Dukes
Towson Tigers,George Washington Colonials
Monmouth Hawks,Hofstra Pride
Illinois State Redbirds,UIC Flames
Central Arkansas Bears,Louisville Cardinals
Stony Brook Seawolves,Manhattan Jaspers
Binghamton Bearcats,Morgan State Bears
Saint Joseph's Hawks,Princeton Tigers
Coppin State Eagles,Richmond Spiders
Siena Saints,St. Bonaventure Bonnies
Western Illinois Leathernecks,Stetson Hatters
Detroit Titans,Toledo Rockets
Miami (OH) RedHawks,Wright State Raiders
Lehigh Mountain Hawks,Yale Bulldogs
Akron Zips,Purdue Fort Wayne Mastodons
Bowling Green Falcons,Cleveland State Vikings
Hampton Pirates,Coastal Carolina Chanticleers
USC Upstate Spartans,Eastern Kentucky Colonels
UAPB Golden Lions,Texas Tech Red Raiders
South Alabama Jaguars,New Orleans Privateers
UC Davis Aggies,Northern Illinois Huskies
FGCU Eagles,Oral Roberts Golden Eagles
Saint Louis Billikens,Southern Illinois Salukis
Loyola (LA) Wolfpack,Louisiana Ragin' Cajuns
North Dakota Fighting Hawks,UT Rio Grande Valley Vaqueros
Texas State Bobcats,Texas A&M-Corpus Christi Islanders
Denver Pioneers,Air Force Falcons
Utah State Aggies,BYU Cougars
Ball State Cardinals,Loyola Chicago Ramblers
Weber State Wildcats,Fresno State Bulldogs
Loyola Marymount Lions,Cal State Fullerton Titans
Southern Utah Thunderbirds,Long Beach State 49ers
Cal State San Marcos Cougars,CSUN Matadors
Texas-Permian Basin Falcons,Pacific Tigers
San Diego Toreros,San Diego State Aztecs
UC Irvine Anteaters,California Baptist Lancers
Portland Pilots,Portland State Vikings
Bob Jones University Bruins,Gardner-Webb Runnin' Bulldogs
Oakland Golden Grizzlies,Fairfield Stags
Fort Valley State Wildcats,Florida A&M Rattlers
Maryland Terrapins,Purdue Boilermakers
Warren Wilson Owls,Tennessee Tech Golden Eagles
Kentucky Christian Knights,Wofford Terriers
Indiana-Kokomo Cougars,IUPUI Jaguars
Voorhees College Tigers,South Carolina State Bulldogs
Drake Bulldogs,Milwaukee Panthers
Trinity Christian Trolls,Chicago State Cougars
Bethune-Cookman Wildcats,San Jose State Spartans
Omaha Mavericks,Seattle Redhawks
Pepperdine Waves,UC Riverside Highlanders
Bryant Bulldogs,Columbia Lions
UNCG Spartans,Elon Phoenix
James Madison Dukes,George Mason Patriots
Saint Mary's Gaels,New Mexico Lobos
Frostburg State Bobcats,Longwood Lancers
Maine-Fort Kent Bengals,Massachusetts-Lowell River Hawks
Southern University Jaguars,South Dakota State Jackrabbits
Idaho State Bengals,Santa Clara Broncos
Schreiner Mountaineers,Abilene Christian Wildcats
Central State Marauders,Eastern Michigan Eagles
Wichita State Shockers,Oklahoma Sooners
Kentucky Wildcats,Seton Hall Pirates
Penn State-Wilkes-Barre Nittany Lions,Central Connecticut State Blue Devils
Truman State Bulldogs,Indiana State Sycamores
Western Carolina Catamounts,UNC Asheville Bulldogs
LIU Brooklyn Blackbirds,Saint Peter's Peacocks
Marist Red Foxes,Stetson Hatters
Rhode Island Rams,Holy Cross Crusaders
Morgan State Bears,Towson Tigers
North Carolina Central Eagles,Appalachian State Mountaineers
Stony Brook Seawolves,Brown Bears
Xavier Musketeers,Cincinnati Bearcats
Maine Black Bears,Dartmouth Big Green
UMBC Retrievers,Drexel Dragons
Purdue Fort Wayne Mastodons,Miami (OH) RedHawks
Dubuque Spartans,UNI Panthers
BYU Cougars,Utah Runnin' Utes
Saint Joseph's Hawks,Villanova Wildcats
Western Michigan Broncos,Youngstown State Penguins
Lafayette Leopards,Quinnipiac Bobcats
UMKC Kangaroos,South Dakota Coyotes
